priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta
0,RELIANCE,RELIANCEEQN,2927.1,2944.0,2907.4,2920.1,2927.25,-7.15,-0.24,9878429103281.25,3217.6,2220.3,3133733,9168613336.74,14-Aug-2024 15:59:42,9.24602187966186,-31.51826329775254,13.44,14-Aug-2023,https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg,15-Jul-2024,-8.48,https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg,https://nsearchives.nseindia.com/today/RELIANCEEQN.svg,EQ,"{'symbol': 'RELIANCE', 'companyName': 'Reliance Industries Limited', 'industry': 'Refineries & Marketing', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE002A01018', 'slb_isin': 'INE002A01018', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,NESTLEIND,NESTLEINDEQN,2486.9,2491.95,2460.6,2478.0,2484.7,-6.7,-0.27,883997133717.6,2769.3,2145.0,561876,1389704767.08,14-Aug-2024 15:59:51,10.518903694074321,-15.524475524475525,-88.7,14-Aug-2023,https://nsearchives.nseindia.com/365d/NESTLEIND-EQ.svg,15-Jul-2024,-5.01,https://nsearchives.nseindia.com/30d/NESTLEIND-EQ.svg,https://nsearchives.nseindia.com/today/NESTLEINDEQN.svg,EQ,"{'symbol': 'NESTLEIND', 'companyName': 'Nestle India Limited', 'industry': 'Packaged Foods', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE239A01024', 'slb_isin': 'INE239A01024', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,GRASIM,GRASIMEQN,2524.0,2534.5,2505.05,2511.65,2519.25,-7.6,-0.3,926166834870.42,2877.75,1758.05,286936,721738728.88,14-Aug-2024 15:51:10,12.721744418382414,-42.86567503768381,38.67,14-Aug-2023,https://nsearchives.nseindia.com/365d/GRASIM-EQ.svg,15-Jul-2024,-10.39,https://nsearchives.nseindia.com/30d/GRASIM-EQ.svg,https://nsearchives.nseindia.com/today/GRASIMEQN.svg,EQ,"{'symbol': 'GRASIM', 'companyName': 'Grasim Industries Limited', 'industry': 'Cement & Cement Products', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE047A01021', 'slb_isin': 'INE047A01021', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,LT,LTEQN,3558.95,3578.7,3536.5,3540.05,3551.8,-11.75,-0.33,4137418091383.25,3919.9,2616.0,1584372,5635373548.2,14-Aug-2024 15:59:36,9.690298221893414,-35.323012232415905,33.28,14-Aug-2023,https://nsearchives.nseindia.com/365d/LT-EQ.svg,15-Jul-2024,-2.91,https://nsearchives.nseindia.com/30d/LT-EQ.svg,https://nsearchives.nseindia.com/today/LTEQN.svg,EQ,"{'symbol': 'LT', 'companyName': 'Larsen & Toubro Limited', 'industry': 'Civil Construction', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE018A01030', 'slb_isin': 'INE018A01030', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,BRITANNIA,BRITANNIAEQN,5676.0,5695.2,5594.15,5644.0,5666.5,-22.5,-0.4,666135724685.76,6005.0,4347.7,164575,930079154.9999999,14-Aug-2024 15:57:32,6.011656952539551,-29.815764657175063,25.77,14-Aug-2023,https://nsearchives.nseindia.com/365d/BRITANNIA-EQ.svg,15-Jul-2024,-2.59,https://nsearchives.nseindia.com/30d/BRITANNIA-EQ.svg,https://nsearchives.nseindia.com/today/BRITANNIAEQN.svg,EQ,"{'symbol': 'BRITANNIA', 'companyName': 'Britannia Industries Limited', 'industry': 'Packaged Foods', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'N2'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE216A07052', 'slb_isin': 'INE216A01030', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,INDUSINDBK,INDUSINDBKEQN,1356.95,1356.95,1335.95,1343.0,1350.6,-7.6,-0.56,888999468854.4,1694.5,1329.2,4868357,6540248160.940001,14-Aug-2024 15:59:26,20.74358217763352,-1.0382184772795633,-3.66,14-Aug-2023,https://nsearchives.nseindia.com/365d/INDUSINDBK-EQ.svg,15-Jul-2024,-7.34,https://nsearchives.nseindia.com/30d/INDUSINDBK-EQ.svg,https://nsearchives.nseindia.com/today/INDUSINDBKEQN.svg,EQ,"{'symbol': 'INDUSINDBK', 'companyName': 'IndusInd Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE095A01012', 'slb_isin': 'INE095A01012', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,AXISBANK,AXISBANKEQN,1159.0,1159.0,1148.65,1152.65,1159.6,-6.95,-0.6,3278448444247.52,1339.65,928.9,5021841,5785964326.56,14-Aug-2024 15:58:23,13.958869854066359,-24.08763053073529,22.68,14-Aug-2023,https://nsearchives.nseindia.com/365d/AXISBANK-EQ.svg,15-Jul-2024,-11.81,https://nsearchives.nseindia.com/30d/AXISBANK-EQ.svg,https://nsearchives.nseindia.com/today/AXISBANKEQN.svg,EQ,"{'symbol': 'AXISBANK', 'companyName': 'Axis Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE238A01034', 'slb_isin': 'INE238A01034', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,ICICIBANK,ICICIBANKEQN,1167.0,1170.05,1153.0,1161.2,1168.35,-7.15,-0.61,8176318641220.8,1257.8,899.0,13431801,15574979167.56,14-Aug-2024 15:59:41,7.680076323739856,-29.16573971078977,21.06,14-Aug-2023,https://nsearchives.nseindia.com/365d/ICICIBANK-EQ.svg,15-Jul-2024,-5.55,https://nsearchives.nseindia.com/30d/ICICIBANK-EQ.svg,https://nsearchives.nseindia.com/today/ICICIBANKEQN.svg,EQ,"{'symbol': 'ICICIBANK', 'companyName': 'ICICI Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL', 'E2'], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN9090A01045', 'slb_isin': 'INE090A01021', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,HINDUNILVR,HINDUNILVREQN,2741.0,2742.55,2706.6,2721.15,2741.4,-20.25,-0.74,2429564299784.69,2811.3,2172.05,946995,2582256496.05,14-Aug-2024 15:52:15,3.206701525984423,-25.28026518726548,7.46,14-Aug-2023,https://nsearchives.nseindia.com/365d/HINDUNILVR-EQ.svg,15-Jul-2024,3.88,https://nsearchives.nseindia.com/30d/HINDUNILVR-EQ.svg,https://nsearchives.nseindia.com/today/HINDUNILVREQN.svg,EQ,"{'symbol': 'HINDUNILVR', 'companyName': 'Hindustan Unilever Limited', 'industry': 'Diversified FMCG', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE030A01027', 'slb_isin': 'INE030A01027', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,APOLLOHOSP,APOLLOHOSPEQN,6600.0,6865.0,6460.25,6538.6,6589.4,-50.8,-0.77,658105250782.14,6874.45,4726.0,1723346,11549037685.92,14-Aug-2024 15:54:30,4.8854817476307115,-38.35378755818875,35.16,14-Aug-2023,https://nsearchives.nseindia.com/365d/APOLLOHOSP-EQ.svg,15-Jul-2024,1.22,https://nsearchives.nseindia.com/30d/APOLLOHOSP-EQ.svg,https://nsearchives.nseindia.com/today/APOLLOHOSPEQN.svg,EQ,"{'symbol': 'APOLLOHOSP', 'companyName': 'Apollo Hospitals Enterprise Limited', 'industry': 'Hospital', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE437A01024', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
