symbol,open,high,low,issue_price,ltP,chn,per,qty,trdVal,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,maturityDate,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
SGBSEP27,7412.32,7429,7400,0,7429,16.68,0.23,43,318792.11,8000,5811.4,,,25.915254237288135,-2.378449408672799,7412.32,7.1375,-27.834945107891393,SEP27,https://nsearchives.nseindia.com/today/SGBSEP27GBN.svg,-,-,-,10-Jul-2024,-2.38,https://nsearchives.nseindia.com/30d/SGBSEP27-GB.svg,"{'symbol': 'SGBSEP27', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% SEP 2027 SR-IV 2019-20', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020190115', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBNV29VII,7470,7470,7435,0,7445,13.3,0.18,135,1005752.7,7934,5822,,,26.186654553651792,-2.4278365715409063,7431.7,6.16334761784724,-27.877018206801786,29VII,https://nsearchives.nseindia.com/today/SGBNV29VIIGBN.svg,26.08,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBNV29VII-GB.svg,15-Jul-2024,-2.42,https://nsearchives.nseindia.com/30d/SGBNV29VII-GB.svg,"{'symbol': 'SGBNV29VII', 'companyName': 'SOVEREIGN GOLD BONDS 2.5% NOVEMBER 2029 SR-VII 2021-22', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020210178', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBJ28VIII,7430,7430,7430,0,7430,10,0.13,7,52010,7999,5796,,,26.683716965046887,-4.670259173723377,7420,7.113389173646706,-28.191856452726018,8VIII,https://nsearchives.nseindia.com/today/SGBJ28VIIIGBN.svg,27.27,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBJ28VIII-GB.svg,15-Jul-2024,-4.67,https://nsearchives.nseindia.com/30d/SGBJ28VIII-GB.svg,"{'symbol': 'SGBJ28VIII', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% JAN 2028 SR-VIII 2019-20', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020190537', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBFEB28IX,7455.95,7455.95,7430,0,7430,10,0.13,27,200661.84,8000,5801,,,27.00854700854701,-2.2387716031920375,7420,7.125,-28.081365281847958,B28IX,https://nsearchives.nseindia.com/today/SGBFEB28IXGBN.svg,26.79,11-Aug-2023,https://nsearchives.nseindia.com/365d/SGBFEB28IX-GB.svg,15-Jul-2024,-2.24,https://nsearchives.nseindia.com/30d/SGBFEB28IX-GB.svg,"{'symbol': 'SGBFEB28IX', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% FEB 2028 SR-IX 2019-20', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020190545', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBFEB32IV,7921.33,7945,7901.01,0,7930,8.67,0.11,1509,11966158.74,8210,6161,,,0.0,-1.6247424317420887,7921.33,3.41047503045067,-28.712871287128714,B32IV,https://nsearchives.nseindia.com/today/SGBFEB32IVGBN.svg,-,-,-,15-Jul-2024,-1.62,https://nsearchives.nseindia.com/30d/SGBFEB32IV-GB.svg,"{'symbol': 'SGBFEB32IV', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% FEBRUARY 2032 SR-IV 2023-24', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020230184', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBJAN29X,7424,7469,7423,0,7425,1.6,0.02,159,1183750.23,8100,5780,,,26.533742331288344,-4.069767441860465,7423.4,8.333333333333334,-28.46020761245675,AN29X,https://nsearchives.nseindia.com/today/SGBJAN29XGBN.svg,26.28,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBJAN29X-GB.svg,15-Jul-2024,-4.07,https://nsearchives.nseindia.com/30d/SGBJAN29X-GB.svg,"{'symbol': 'SGBJAN29X', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% JANUARY 2029 SR-X 2020-21', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020200385', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBDEC25,0,0,0,2911,7400,0,0.00,0,0,7998,5832.14,,,23.419315456434656,-7.476869217304326,7400,7.476869217304326,-26.883099514072015,DEC25,https://nsearchives.nseindia.com/today/SGBDEC25GBN.svg,23.44,11-Aug-2023,https://nsearchives.nseindia.com/365d/SGBDEC25-GB.svg,15-Jul-2024,-7.48,https://nsearchives.nseindia.com/30d/SGBDEC25-GB.svg,"{'symbol': 'SGBDEC25', 'companyName': '2.50%GOLDBONDS 2025 SR-X', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020170125', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBNOV25IX,7399.95,7399.95,7399.95,2914,7399.95,0,0.00,1,7399.95,7700,5726,,,23.39419709854927,-0.6718120805369152,7399.95,3.8967532467532493,-29.234194900454064,V25IX,https://nsearchives.nseindia.com/today/SGBNOV25IXGBN.svg,25.42,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBNOV25IX-GB.svg,15-Jul-2024,-0.67,https://nsearchives.nseindia.com/30d/SGBNOV25IX-GB.svg,"{'symbol': 'SGBNOV25IX', 'companyName': '2.50%GOLDBONDS 2025SR-IX', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020170117', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBNOV25,0,0,0,2884,7500,0,0.00,0,0,7602,5805,,,28.8659793814433,-0.34639592775511935,7500,1.3417521704814523,-29.198966408268735,NOV25,https://nsearchives.nseindia.com/today/SGBNOV25GBN.svg,25.09,09-Aug-2023,https://nsearchives.nseindia.com/365d/SGBNOV25-GB.svg,15-Jul-2024,-0.35,https://nsearchives.nseindia.com/30d/SGBNOV25-GB.svg,"{'symbol': 'SGBNOV25', 'companyName': '2.50% GOLDBONDS2025SR-VII', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020170091', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBDEC2512,0,0,0,2840,7303.05,0,0.00,0,0,7800,5810,,,23.25822784810127,-3.907236842105261,7303.05,6.371153846153844,-25.697934595524963,C2512,https://nsearchives.nseindia.com/today/SGBDEC2512GBN.svg,23.26,10-Aug-2023,https://nsearchives.nseindia.com/365d/SGBDEC2512-GB.svg,12-Jul-2024,-3.92,https://nsearchives.nseindia.com/30d/SGBDEC2512-GB.svg,"{'symbol': 'SGBDEC2512', 'companyName': '2.50%GOLDBONDS2025 SR-XII', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020170141', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
