symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,17.2,17.59,16.91,17.25,-0.01,-0.06,382250,6559410,17.2304,18.59,13,-,-,Infinity,-3.1443009545199256,17.26,7.20817643894567,-32.69230769230769,https://nsearchives.nseindia.com/today/MOSMALL250EQN.svg,-,-,-,15-Jul-2024,-3.65,https://nsearchives.nseindia.com/30d/MOSMALL250-EQ.svg,"{'symbol': 'MOSMALL250', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty Smallcap 250 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01CH6', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
IVZINGOLD,Gold,6199.75,6250,6195.05,6205.25,-3.75,-0.06,353,2205240.42,6220.4911,6641,5005,-,-,19.09925817874726,-4.568383495070978,6209,6.56151182050896,-23.98101898101898,https://nsearchives.nseindia.com/today/IVZINGOLDEQN.svg,18.27,14-Aug-2023,https://nsearchives.nseindia.com/365d/IVZINGOLD-EQ.svg,15-Jul-2024,-4.57,https://nsearchives.nseindia.com/30d/IVZINGOLD-EQ.svg,"{'symbol': 'IVZINGOLD', 'companyName': 'Invesco India Gold Exchange Traded Fund', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF205K01361', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
HDFCNIFTY,Nifty 50,267.49,267.49,265.89,266.4,-0.18,-0.07,35526,9475139.46,266.1931,285.01,206.3,17-FEB-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 761.25/- PER UNIT TO RS 76.125/- PER UNIT,25.612976235382856,-1.719176566073941,266.58,6.529595452791135,-29.132331555986408,https://nsearchives.nseindia.com/today/HDFCNIFTYEQN.svg,25.54,14-Aug-2023,https://nsearchives.nseindia.com/365d/HDFCNIFTY-EQ.svg,15-Jul-2024,-1.62,https://nsearchives.nseindia.com/30d/HDFCNIFTY-EQ.svg,"{'symbol': 'HDFCNIFTY', 'companyName': 'HDFC NIFTY 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1965', 'slb_isin': 'INF179KC1965', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
LICMFGOLD,Gold,6429.95,6459.95,6411.05,6426.1,-4.85,-0.08,353,2271975.07,,6984.95,5111,-,-,19.378779293881617,-4.515601783060916,6430.95,8.00077309071646,-25.73077675601644,https://nsearchives.nseindia.com/today/LICMFGOLDEQN.svg,19.43,14-Aug-2023,https://nsearchives.nseindia.com/365d/LICMFGOLD-EQ.svg,15-Jul-2024,-4.47,https://nsearchives.nseindia.com/30d/LICMFGOLD-EQ.svg,"{'symbol': 'LICMFGOLD', 'companyName': 'LIC MF Gold EXCHANGE TRADED FUND', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF397L01554', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SETFNIFBK,Nifty Bank,509.99,511.55,506.31,507.37,-0.48,-0.09,28625,14513161.25,507.3552,554.3,426.45,02-NOV-17, DIVIDEND - RS 3.50 PER UNIT,14.277670165322757,-4.849689627365304,507.85,8.466534367670928,-18.97526087466292,https://nsearchives.nseindia.com/today/SETFNIFBKEQN.svg,13.66,14-Aug-2023,https://nsearchives.nseindia.com/365d/SETFNIFBK-EQ.svg,15-Jul-2024,-4.95,https://nsearchives.nseindia.com/30d/SETFNIFBK-EQ.svg,"{'symbol': 'SETFNIFBK', 'companyName': 'SBI-ETF Nifty Bank', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1580', 'slb_isin': 'INF200KA1580', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,36.19,36.4,35.58,35.9,-0.04,-0.11,804348,28827832.32,35.881,38.99,21.7,12-AUG-22,ADDITONAL ISSUANCE 9:1,Infinity,-3.4167339252085096,35.94,7.925109002308292,-65.43778801843318,https://nsearchives.nseindia.com/today/MOM30IETFEQN.svg,-,-,-,15-Jul-2024,-3.55,https://nsearchives.nseindia.com/30d/MOM30IETF-EQ.svg,"{'symbol': 'MOM30IETF', 'companyName': 'ICICI Prudential Mutual Fund -  ICICI Pru Nifty 200 Momentum 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC17C7', 'slb_isin': 'INF109KC17C7', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
LICNETFGSC,GSEC10 NSE Index,25.9,26.17,25.9,26,-0.03,-0.12,27928,725569.44,25.9478,27.97,23.1,-,-,8.559498956158667,1.2066952121447985,26.03,7.043260636396135,-12.554112554112548,https://nsearchives.nseindia.com/today/LICNETFGSCEQN.svg,9.11,14-Aug-2023,https://nsearchives.nseindia.com/365d/LICNETFGSC-EQ.svg,15-Jul-2024,1.17,https://nsearchives.nseindia.com/30d/LICNETFGSC-EQ.svg,"{'symbol': 'LICNETFGSC', 'companyName': 'LIC MF - LIC MF G-sec LT ETF - GO', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01MV5', 'slb_isin': 'INF767K01MV5', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
AXISCETF,NIFTY India Consumption Index,118.59,118.99,118.38,118.42,-0.16,-0.13,597,70804.2,118.5442,124.7,82.52,-,-,42.07558488302341,1.656794574641606,118.58,5.036086607858862,-43.504604944255945,https://nsearchives.nseindia.com/today/AXISCETFEQN.svg,39.63,14-Aug-2023,https://nsearchives.nseindia.com/365d/AXISCETF-EQ.svg,15-Jul-2024,1.71,https://nsearchives.nseindia.com/30d/AXISCETF-EQ.svg,"{'symbol': 'AXISCETF', 'companyName': 'AXIS MUTUAL FUND - Axis NIFTY India Consumption ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K016C7', 'slb_isin': 'INF846K016C7', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
PSUBANK,Nifty PSU Bank,689.97,689.97,676,680,-0.87,-0.13,11481,7800995.07,679.3436,896.99,442.05,09-MAR-17, DIVIVEND - RS 7/- PER UNIT,Infinity,-8.464354942924833,680.87,24.190905138295857,-53.828752403574256,https://nsearchives.nseindia.com/today/PSUBANKEQN.svg,-,-,-,15-Jul-2024,-8.64,https://nsearchives.nseindia.com/30d/PSUBANK-EQ.svg,"{'symbol': 'PSUBANK', 'companyName': 'Kotak Nifty PSU Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF373I01023', 'slb_isin': 'INF373I01023', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
BANKBETF,Bajaj Finserv Nifty Bank ETF,51.23,51.23,49.86,50.16,-0.07,-0.14,40176,2014022.88,50.1544,62.13,44.66,-,-,Infinity,-4.83779169038134,50.23,19.26605504587157,-12.315270935960593,https://nsearchives.nseindia.com/today/BANKBETFEQN.svg,-,-,-,15-Jul-2024,-5.07,https://nsearchives.nseindia.com/30d/BANKBETF-EQ.svg,"{'symbol': 'BANKBETF', 'companyName': 'Bajaj Finserv Mutual Fund - Bajaj Finserv Nifty Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0QA701714', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
